종목명,코드,상세정보,20.08.13,20.08.14,20.08.18
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+6.57% / 158,910,666","-3.25% / 53,250,526(34%)","-18.12% / 32,430,451(20%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"+9.15% / 91,501,382",0.00% / 0(0%),"-6.02% / 43,074,447(47%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"-8.14% / 60,838,330","-8.52% / 14,328,733(24%)","+3.45% / 67,789,104(111%)"
씨아이에스,222080,https://finance.naver.com/item/main.nhn?code=222080,"+3.98% / 43,992,689","+3.95% / 18,622,427(42%)","-6.84% / 8,330,680(19%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+4.47% / 41,845,222","+0.14% / 8,452,587(20%)","-5.59% / 4,415,774(11%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+4.44% / 38,457,419","+29.18% / 142,116,109(370%)","-16.74% / 39,589,042(103%)"
상보,027580,https://finance.naver.com/item/main.nhn?code=027580,"+29.70% / 33,021,487","-12.98% / 17,642,081(53%)","-5.26% / 13,110,591(40%)"
형지I&C,011080,https://finance.naver.com/item/main.nhn?code=011080,"+21.79% / 29,564,114","-2.81% / 41,596,911(141%)","-12.33% / 7,156,597(24%)"
삼본전자,111870,https://finance.naver.com/item/main.nhn?code=111870,"+1.83% / 29,008,190","-8.41% / 5,440,656(19%)","-10.06% / 3,009,399(10%)"
디에이테크놀로지,196490,https://finance.naver.com/item/main.nhn?code=196490,"+2.47% / 25,896,104","-3.48% / 4,650,811(18%)","-12.05% / 6,332,813(24%)"
에이치엘비파워,043220,https://finance.naver.com/item/main.nhn?code=043220,"+29.81% / 25,889,106","-8.89% / 27,619,012(107%)","-4.92% / 6,747,881(26%)"
삼기오토모티브,122350,https://finance.naver.com/item/main.nhn?code=122350,"+7.89% / 19,490,959","-6.42% / 2,255,682(12%)","-7.61% / 1,983,566(10%)"
삼보모터스,053700,https://finance.naver.com/item/main.nhn?code=053700,"+2.43% / 18,346,821","+12.71% / 11,525,572(63%)","-15.40% / 2,052,986(11%)"
정다운,208140,https://finance.naver.com/item/main.nhn?code=208140,"+8.86% / 15,621,070","-17.75% / 11,897,185(76%)","-8.30% / 2,360,784(15%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"-6.08% / 15,180,376","-3.66% / 2,162,453(14%)","-9.25% / 2,323,186(15%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"-0.87% / 14,758,100","0.00% / 5,723,810(39%)","-4.89% / 13,203,418(89%)"
SKC 솔믹스,057500,https://finance.naver.com/item/main.nhn?code=057500,"+18.09% / 14,546,812","-0.14% / 4,044,843(28%)","+0.27% / 2,444,559(17%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+29.91% / 13,506,453","+1.68% / 13,227,774(98%)","-12.72% / 3,107,048(23%)"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"+12.34% / 13,291,901","-4.30% / 2,479,683(19%)","-11.07% / 2,612,542(20%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+1.52% / 12,949,244","-7.00% / 7,306,995(56%)","-9.90% / 5,973,635(46%)"
오리엔탈정공,014940,https://finance.naver.com/item/main.nhn?code=014940,"-5.37% / 12,405,800","+24.32% / 18,809,270(152%)","-11.78% / 6,761,025(54%)"
에이치엘비생명과학,067630,https://finance.naver.com/item/main.nhn?code=067630,"+29.91% / 11,987,611","-13.67% / 3,159,918(26%)","-4.47% / 1,528,656(13%)"
인지디스플레,037330,https://finance.naver.com/item/main.nhn?code=037330,"+11.43% / 11,968,003","-4.90% / 7,941,643(66%)","-7.77% / 2,418,744(20%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+5.38% / 11,577,400","-1.02% / 10,216,352(88%)","+1.37% / 183,989,099(1589%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"+3.22% / 11,521,965","-2.30% / 1,384,154(12%)","+0.96% / 4,550,263(39%)"
엔에스,217820,https://finance.naver.com/item/main.nhn?code=217820,"-2.68% / 10,884,353","+2.75% / 2,410,811(22%)","-1.79% / 5,089,281(47%)"
에이텍,045660,https://finance.naver.com/item/main.nhn?code=045660,"+19.94% / 10,830,151","-0.59% / 7,460,670(69%)","-6.51% / 2,189,985(20%)"
켐트로스,220260,https://finance.naver.com/item/main.nhn?code=220260,"-0.81% / 10,798,104","-4.22% / 2,693,655(25%)","-4.86% / 5,456,996(51%)"
진매트릭스,109820,https://finance.naver.com/item/main.nhn?code=109820,"+24.59% / 10,753,181","-16.32% / 3,417,050(32%)","+1.57% / 1,609,192(15%)"
SFA반도체,036540,https://finance.naver.com/item/main.nhn?code=036540,"+5.94% / 10,579,902","-4.95% / 6,008,824(57%)","-6.78% / 3,717,050(35%)"
에이프로젠 H&G,109960,https://finance.naver.com/item/main.nhn?code=109960,"+6.41% / 10,572,360","-4.59% / 1,290,840(12%)","-6.58% / 1,394,571(13%)"
에이치엘비,028300,https://finance.naver.com/item/main.nhn?code=028300,"+29.99% / 10,257,310","-12.41% / 4,280,460(42%)","-4.25% / 2,330,205(23%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+0.53% / 10,221,750","+3.46% / 4,567,838(45%)","-8.72% / 2,693,722(26%)"
켐온,217600,https://finance.naver.com/item/main.nhn?code=217600,"+8.35% / 10,130,887","+0.59% / 66,646,179(658%)","-11.26% / 7,091,626(70%)"
