종목명,코드,상세정보,20.09.08,20.09.09,20.09.10,20.09.11,20.09.14
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+29.92% / 256,881,982","+25.16% / 327,066,240(127%)","-6.84% / 103,573,365(40%)","+11.07% / 249,916,778(97%)","+4.49% / 63,451,101(25%)"
대한광통신,010170,https://finance.naver.com/item/main.nhn?code=010170,"+16.75% / 124,849,036","-1.67% / 17,961,419(14%)","-3.35% / 73,019,451(58%)","+0.69% / 10,120,192(8%)","-3.30% / 6,815,068(5%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"+10.62% / 106,175,803","+4.62% / 107,617,889(101%)","-5.43% / 16,767,677(16%)","+2.71% / 36,075,170(34%)","+4.32% / 14,437,608(14%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+29.89% / 102,730,346","-7.84% / 34,116,798(33%)","-3.57% / 13,382,812(13%)","+14.81% / 68,890,385(67%)","-0.38% / 11,945,648(12%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"-0.61% / 66,878,926","+1.73% / 18,109,469(27%)","-0.50% / 7,834,022(12%)","-2.46% / 4,123,972(6%)","-2.13% / 4,255,898(6%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+15.72% / 61,705,239","-1.26% / 34,520,855(56%)","0.00% / 12,822,368(21%)","0.00% / 8,360,219(14%)","-5.57% / 8,278,376(13%)"
포스코 ICT,022100,https://finance.naver.com/item/main.nhn?code=022100,"+29.88% / 44,678,378","+13.95% / 93,273,937(209%)","-3.34% / 14,781,816(33%)","+4.53% / 61,744,530(138%)","+0.16% / 6,570,636(15%)"
케이사인,192250,https://finance.naver.com/item/main.nhn?code=192250,"+5.32% / 36,987,894","-2.36% / 2,947,775(8%)","+1.39% / 4,606,810(12%)","+8.90% / 62,531,751(169%)","+4.70% / 19,885,602(54%)"
전파기지국,065530,https://finance.naver.com/item/main.nhn?code=065530,"+2.11% / 36,668,783","+0.78% / 3,076,013(8%)","+1.16% / 5,106,237(14%)","-1.69% / 1,398,940(4%)","+0.19% / 1,764,258(5%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+0.32% / 33,812,850","-4.53% / 5,604,864(17%)","+0.34% / 4,002,126(12%)","-6.02% / 6,324,843(19%)","+8.48% / 23,127,667(68%)"
