종목명,코드,상세정보,20.09.25,20.09.28
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"-29.87% / 182,416,694","-3.81% / 173,785,051(95%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"-25.45% / 103,225,378","+0.99% / 13,757,020(13%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+29.92% / 102,414,089","+3.11% / 113,156,055(110%)"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"-22.59% / 98,691,727","+20.95% / 148,500,260(150%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"+29.82% / 86,251,719","-4.95% / 75,573,798(88%)"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"-8.61% / 70,984,759","+6.86% / 11,228,805(16%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"-29.93% / 69,687,861","+4.00% / 32,488,978(47%)"
아주IB투자,027360,https://finance.naver.com/item/main.nhn?code=027360,"+4.27% / 68,012,321","+10.66% / 30,676,458(45%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"+19.61% / 58,852,989","-4.74% / 23,735,991(40%)"
한일진공,123840,https://finance.naver.com/item/main.nhn?code=123840,"-21.17% / 52,081,968","+29.63% / 42,990,686(83%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+1.82% / 51,201,557","+0.98% / 60,416,475(118%)"
SCI평가정보,036120,https://finance.naver.com/item/main.nhn?code=036120,"-5.97% / 49,604,356","+8.08% / 10,121,989(20%)"
줌인터넷,239340,https://finance.naver.com/item/main.nhn?code=239340,"+11.24% / 47,053,283","+0.68% / 20,099,161(43%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"+26.52% / 42,704,358","-6.27% / 8,379,267(20%)"
오르비텍,046120,https://finance.naver.com/item/main.nhn?code=046120,"-11.89% / 35,865,612","+7.95% / 9,010,523(25%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"-17.38% / 26,608,761","+1.09% / 3,215,436(12%)"
모트렉스,118990,https://finance.naver.com/item/main.nhn?code=118990,"-10.53% / 26,319,945","+13.90% / 62,922,552(239%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"-21.69% / 25,681,728","+2.67% / 1,692,472(7%)"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"+8.36% / 19,614,929","-0.11% / 11,600,501(59%)"
제이씨현시스템,033320,https://finance.naver.com/item/main.nhn?code=033320,"-8.22% / 18,858,150","+6.65% / 4,483,885(24%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-8.23% / 16,778,896","+3.30% / 13,778,694(82%)"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"-5.97% / 15,028,307","+5.71% / 10,558,090(70%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"+6.04% / 14,882,379","+3.48% / 13,666,525(92%)"
켐온,217600,https://finance.naver.com/item/main.nhn?code=217600,"+5.64% / 14,582,774","-0.50% / 1,947,718(13%)"
한국팩키지,037230,https://finance.naver.com/item/main.nhn?code=037230,"-5.66% / 13,024,937","+2.75% / 3,500,637(27%)"
나라엠앤디,051490,https://finance.naver.com/item/main.nhn?code=051490,"+1.73% / 12,988,142","+6.32% / 6,277,348(48%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+1.21% / 12,690,728","+5.37% / 18,268,856(144%)"
원풍물산,008290,https://finance.naver.com/item/main.nhn?code=008290,"-7.98% / 12,367,977","-0.42% / 685,739(6%)"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"-10.16% / 12,090,592","+7.70% / 16,818,918(139%)"
필로시스헬스케어,057880,https://finance.naver.com/item/main.nhn?code=057880,"-4.24% / 11,959,517","+3.66% / 5,363,146(45%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"-7.26% / 11,638,565","+4.88% / 10,637,584(91%)"
신성델타테크,065350,https://finance.naver.com/item/main.nhn?code=065350,"-7.89% / 11,126,004","-3.67% / 2,324,936(21%)"
메디콕스,054180,https://finance.naver.com/item/main.nhn?code=054180,"+4.71% / 10,772,964","+7.92% / 46,021,072(427%)"
아이에이,038880,https://finance.naver.com/item/main.nhn?code=038880,"-3.85% / 10,641,518","+2.40% / 12,490,427(117%)"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"-4.00% / 10,609,826","+29.63% / 24,253,136(229%)"
기가레인,049080,https://finance.naver.com/item/main.nhn?code=049080,"+11.45% / 10,456,607","+3.78% / 7,291,260(70%)"
서한,011370,https://finance.naver.com/item/main.nhn?code=011370,"-2.59% / 10,434,530","+3.98% / 2,180,803(21%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+5.33% / 10,419,019","+7.09% / 5,102,901(49%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"-7.95% / 10,213,457","+9.05% / 21,315,528(209%)"
