종목명,코드,상세정보,20.10.06,20.10.07,20.10.08,20.10.12
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"+4.13% / 190,511,907","+0.61% / 58,624,714(31%)","-4.23% / 32,837,717(17%)","-7.21% / 29,013,733(15%)"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"+26.71% / 72,515,470","-0.91% / 36,492,016(50%)","+0.37% / 18,367,427(25%)","+0.18% / 14,126,937(19%)"
메디콕스,054180,https://finance.naver.com/item/main.nhn?code=054180,"+17.70% / 50,976,651","+3.61% / 57,554,956(113%)","+0.16% / 27,260,087(53%)","-5.13% / 5,041,022(10%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+1.34% / 39,994,852","+29.96% / 80,814,675(202%)","+3.89% / 156,604,018(392%)","-0.56% / 34,995,207(87%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"+19.72% / 38,327,754","+1.08% / 204,543,816(534%)","-3.40% / 58,450,802(153%)","-6.74% / 20,593,302(54%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+0.87% / 36,923,581","-0.86% / 16,864,067(46%)","-2.11% / 16,766,413(45%)","-2.53% / 23,278,334(63%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"-0.68% / 33,374,706","-0.68% / 21,122,464(63%)","-0.86% / 8,973,322(27%)","-0.87% / 16,150,186(48%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+4.89% / 32,335,310","-1.38% / 10,227,123(32%)","-0.58% / 4,169,840(13%)","+1.41% / 4,938,952(15%)"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"+2.08% / 31,499,128","+2.02% / 7,248,523(23%)","-3.95% / 3,670,530(12%)","+11.24% / 66,692,299(212%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+1.03% / 30,208,945","+8.35% / 20,543,844(68%)","-1.64% / 16,109,757(53%)","-0.24% / 6,602,665(22%)"
부방,014470,https://finance.naver.com/item/main.nhn?code=014470,"+13.76% / 26,686,536","+1.49% / 4,258,010(16%)","-1.47% / 3,449,053(13%)","+9.91% / 9,679,849(36%)"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"-1.92% / 26,591,732","-1.31% / 10,420,260(39%)","-1.99% / 10,631,881(40%)","0.00% / 13,611,152(51%)"
인지디스플레,037330,https://finance.naver.com/item/main.nhn?code=037330,"-3.01% / 26,438,636","-0.46% / 4,069,432(15%)","+13.76% / 53,616,880(203%)","-4.37% / 3,926,896(15%)"
카스,016920,https://finance.naver.com/item/main.nhn?code=016920,"+4.65% / 25,718,679","+4.43% / 6,157,533(24%)","-2.23% / 1,673,147(7%)","-0.23% / 1,062,781(4%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+5.80% / 25,493,461","+6.56% / 25,572,397(100%)","-2.78% / 9,384,263(37%)","-5.72% / 6,698,513(26%)"
