종목명,코드,상세정보,20.07.15,20.07.17
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-1.92% / 135,700,488","-1.51% / 126,363,980(93%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+1.81% / 65,132,895","+1.47% / 46,627,508(72%)"
파미셀,005690,https://finance.naver.com/item/main.nhn?code=005690,"+25.20% / 55,593,443","-5.08% / 7,253,639(13%)"
백광산업,001340,https://finance.naver.com/item/main.nhn?code=001340,"+3.51% / 48,687,260","+5.12% / 13,990,547(29%)"
보해양조,000890,https://finance.naver.com/item/main.nhn?code=000890,"+0.98% / 43,622,001","-2.56% / 8,948,277(21%)"
SG세계물산,004060,https://finance.naver.com/item/main.nhn?code=004060,"+13.48% / 40,695,578","+0.35% / 16,979,272(42%)"
대덕전자,353200,https://finance.naver.com/item/main.nhn?code=353200,"+29.51% / 27,742,249","+5.15% / 19,012,892(69%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.01% / 26,521,660","-0.92% / 20,093,299(76%)"
써니전자,004770,https://finance.naver.com/item/main.nhn?code=004770,"+3.35% / 24,052,825","-2.23% / 5,522,967(23%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.67% / 22,040,190","+1.12% / 10,041,347(46%)"
드림텍,192650,https://finance.naver.com/item/main.nhn?code=192650,"-3.35% / 19,199,576","+0.45% / 4,155,587(22%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.43% / 18,242,893","-1.20% / 26,013,880(143%)"
쌍용차,003620,https://finance.naver.com/item/main.nhn?code=003620,"+4.41% / 16,365,115","+0.63% / 3,210,995(20%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"+4.05% / 15,163,696","+1.28% / 4,274,023(28%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+0.59% / 15,059,811","+2.38% / 14,613,440(97%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"+8.61% / 14,023,463","+0.46% / 2,680,704(19%)"
유니온머티리얼,047400,https://finance.naver.com/item/main.nhn?code=047400,"+6.23% / 13,738,170","-1.74% / 6,539,444(48%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+3.39% / 12,330,818","0.00% / 6,491,858(53%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+0.68% / 12,136,556","+0.34% / 14,171,245(117%)"
대현,016090,https://finance.naver.com/item/main.nhn?code=016090,"+7.00% / 11,627,298","+1.59% / 934,415(8%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+1.72% / 10,548,865","+0.86% / 3,949,375(37%)"
코오롱머티리얼,144620,https://finance.naver.com/item/main.nhn?code=144620,"+29.92% / 10,441,898","-4.59% / 2,007,435(19%)"
