종목명,코드,상세정보,20.07.22,20.07.23,20.07.24
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.73% / 116,147,056","+1.15% / 129,945,874(112%)","+1.34% / 153,099,124(132%)"
두산중공업,034020,https://finance.naver.com/item/main.nhn?code=034020,"+20.00% / 80,902,494","+0.35% / 22,825,133(28%)","-4.99% / 3,560,653(4%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"-9.30% / 61,872,806","-1.11% / 19,596,432(32%)","+1.40% / 17,568,686(28%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.75% / 39,942,119","-1.24% / 61,128,411(153%)","-1.25% / 45,127,324(113%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+0.11% / 35,918,190","-3.76% / 17,986,552(50%)","-1.78% / 11,777,264(33%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+7.42% / 34,061,025","-5.59% / 11,590,227(34%)","-1.39% / 7,636,132(22%)"
국제약품,002720,https://finance.naver.com/item/main.nhn?code=002720,"+20.63% / 27,403,527","+0.37% / 19,331,934(71%)","-4.44% / 1,479,121(5%)"
대양금속,009190,https://finance.naver.com/item/main.nhn?code=009190,"+4.37% / 24,509,693","-5.10% / 5,336,245(22%)","-7.87% / 5,752,525(23%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.34% / 22,056,890","+0.68% / 23,171,070(105%)","+0.59% / 26,404,484(120%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.44% / 21,662,466","-1.50% / 34,227,872(158%)","+0.98% / 36,592,003(169%)"
대덕전자,353200,https://finance.naver.com/item/main.nhn?code=353200,"+7.69% / 15,195,122","+2.78% / 5,556,645(37%)","-4.63% / 3,343,561(22%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+0.96% / 14,726,536","+2.90% / 17,034,679(116%)","-1.72% / 19,715,507(134%)"
국보,001140,https://finance.naver.com/item/main.nhn?code=001140,"+13.42% / 14,534,773","+2.17% / 14,033,259(97%)","-2.51% / 7,472,098(51%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-1.08% / 12,607,241","-1.10% / 15,910,888(126%)","0.00% / 10,139,697(80%)"
한화생명,088350,https://finance.naver.com/item/main.nhn?code=088350,"+4.38% / 12,341,962","-4.19% / 6,780,562(55%)","-0.67% / 2,652,529(21%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+1.59% / 11,957,149","+1.56% / 8,462,308(71%)","-3.08% / 7,502,061(63%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"+2.53% / 11,544,319","+1.23% / 9,663,095(84%)","-3.66% / 8,144,078(71%)"
영보화학,014440,https://finance.naver.com/item/main.nhn?code=014440,"+12.56% / 10,940,680","+11.57% / 4,940,211(45%)","-2.84% / 1,423,957(13%)"
부광약품,003000,https://finance.naver.com/item/main.nhn?code=003000,"-7.93% / 10,405,447","+10.07% / 25,948,710(249%)","-3.73% / 8,884,713(85%)"
