종목명,코드,상세정보,20.08.07,20.08.10,20.08.11,20.08.12,20.08.13
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.47% / 125,078,247","-2.95% / 152,448,032(122%)","-2.68% / 176,358,160(141%)","-0.87% / 180,507,771(144%)","+0.13% / 152,113,272(122%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+6.05% / 67,595,159","+3.43% / 17,580,098(26%)","-1.15% / 8,111,324(12%)","+0.39% / 6,117,267(9%)","+1.03% / 5,123,389(8%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.44% / 43,109,402","+2.80% / 46,912,145(109%)","+2.72% / 62,895,522(146%)","+0.98% / 46,573,625(108%)","-0.03% / 57,011,673(132%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.18% / 27,764,449","-1.46% / 33,736,996(122%)","-1.29% / 36,692,079(132%)","-0.47% / 43,223,995(156%)","0.00% / 30,099,015(108%)"
유니온머티리얼,047400,https://finance.naver.com/item/main.nhn?code=047400,"+3.38% / 21,947,510","-3.27% / 6,912,084(31%)","+3.00% / 12,591,931(57%)","-4.55% / 4,426,429(20%)","-2.29% / 6,154,997(28%)"
서연,007860,https://finance.naver.com/item/main.nhn?code=007860,"+6.10% / 19,978,869","-1.36% / 4,810,046(24%)","-6.91% / 3,189,247(16%)","+5.45% / 5,445,648(27%)","+11.27% / 14,044,980(70%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.58% / 18,582,429","-0.29% / 17,164,653(92%)","+0.39% / 18,233,086(98%)","+2.13% / 39,270,056(211%)","-1.99% / 32,977,731(177%)"
대한항공,003490,https://finance.naver.com/item/main.nhn?code=003490,"+5.52% / 13,645,920","-1.83% / 3,787,529(28%)","+0.80% / 3,584,198(26%)","+3.44% / 8,846,552(65%)","+0.77% / 4,538,709(33%)"
아시아나항공,020560,https://finance.naver.com/item/main.nhn?code=020560,"+4.28% / 12,768,393","+0.35% / 5,181,031(41%)","+3.60% / 15,763,698(123%)","+0.78% / 9,772,294(77%)","-3.44% / 4,809,950(38%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"0.00% / 12,612,357","-1.23% / 6,868,224(54%)","+1.25% / 8,354,675(66%)","0.00% / 4,481,468(36%)","+1.23% / 7,119,624(56%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-1.38% / 12,610,347","+0.52% / 17,206,732(136%)","+0.69% / 24,765,231(196%)","+1.37% / 18,013,798(143%)","-0.51% / 21,685,901(172%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-0.70% / 11,836,604","+0.76% / 14,028,063(119%)","-0.75% / 12,101,480(102%)","-4.41% / 23,628,111(200%)","+4.01% / 28,530,819(241%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+7.85% / 11,703,565","+8.36% / 21,920,377(187%)","-3.20% / 4,966,519(42%)","+0.68% / 7,221,754(62%)","+5.88% / 25,711,651(220%)"
후성,093370,https://finance.naver.com/item/main.nhn?code=093370,"-0.22% / 10,459,030","+1.54% / 5,241,206(50%)","-2.59% / 3,167,746(30%)","-3.44% / 3,089,212(30%)","+1.72% / 2,649,711(25%)"
덕성,004830,https://finance.naver.com/item/main.nhn?code=004830,"+4.22% / 10,427,236","+0.16% / 1,872,245(18%)","-3.29% / 1,265,248(12%)","-1.02% / 1,656,053(16%)","+4.30% / 3,558,122(34%)"
