종목명,코드,상세정보,20.09.11,20.09.14,20.09.15,20.09.16
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.49% / 142,116,347","-2.58% / 135,697,407(95%)","-1.39% / 105,308,052(74%)","+0.64% / 105,048,803(74%)"
보락,002760,https://finance.naver.com/item/main.nhn?code=002760,"+29.53% / 110,289,682","+8.80% / 124,039,505(112%)","+0.35% / 38,328,652(35%)","-5.96% / 3,290,963(3%)"
대유플러스,000300,https://finance.naver.com/item/main.nhn?code=000300,"-5.29% / 64,996,383","+29.86% / 127,346,984(196%)","-2.42% / 56,589,589(87%)","-6.27% / 8,456,625(13%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.49% / 44,537,261","+2.85% / 35,168,106(79%)","+1.43% / 46,314,802(104%)","-0.66% / 43,925,593(99%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.10% / 35,191,922","-0.79% / 17,069,376(49%)","-1.19% / 24,684,822(70%)","+0.30% / 35,086,102(100%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"+1.95% / 34,139,610","+2.86% / 32,457,747(95%)","-3.40% / 7,778,198(23%)","-1.60% / 5,859,075(17%)"
대유에이텍,002880,https://finance.naver.com/item/main.nhn?code=002880,"-9.10% / 26,694,568","+21.24% / 44,897,717(168%)","-7.89% / 7,452,495(28%)","-3.80% / 2,396,477(9%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.37% / 26,288,183","-1.48% / 30,611,780(116%)","-0.66% / 23,685,832(90%)","+0.28% / 25,908,884(99%)"
삼부토건,001470,https://finance.naver.com/item/main.nhn?code=001470,"+6.41% / 22,977,564","+6.69% / 6,780,250(30%)","+13.17% / 12,559,057(55%)","+0.28% / 8,271,037(36%)"
JW홀딩스,096760,https://finance.naver.com/item/main.nhn?code=096760,"+7.76% / 21,468,602","+0.16% / 1,945,794(9%)","+1.81% / 2,261,441(11%)","+0.81% / 1,237,019(6%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"-4.62% / 20,125,905","0.00% / 7,799,221(39%)","-1.59% / 10,131,635(50%)","+8.06% / 20,300,318(101%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"0.00% / 16,343,805","+1.40% / 13,182,440(81%)","+2.37% / 16,908,637(103%)","-0.62% / 20,418,501(125%)"
혜인,003010,https://finance.naver.com/item/main.nhn?code=003010,"+3.11% / 15,369,907","+4.13% / 1,305,592(8%)","-4.66% / 753,323(5%)","-1.27% / 443,784(3%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-0.34% / 14,622,685","+2.37% / 20,469,362(140%)","+0.83% / 16,812,250(115%)","0.00% / 16,959,959(116%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"-3.24% / 13,259,007","-3.97% / 11,609,121(88%)","-3.92% / 13,202,086(100%)","+5.64% / 35,567,567(268%)"
영진약품,003520,https://finance.naver.com/item/main.nhn?code=003520,"-4.98% / 11,901,456","-1.44% / 15,809,944(133%)","-5.65% / 7,772,028(65%)","+2.33% / 6,195,933(52%)"
두산중공업,034020,https://finance.naver.com/item/main.nhn?code=034020,"+1.70% / 11,863,031","+0.34% / 4,025,425(34%)","+0.67% / 3,949,150(33%)","+4.67% / 7,712,388(65%)"
신성통상,005390,https://finance.naver.com/item/main.nhn?code=005390,"+3.08% / 11,773,341","-2.99% / 19,433,028(165%)","-2.56% / 6,415,703(54%)","-2.37% / 4,072,893(35%)"
HMM,011200,https://finance.naver.com/item/main.nhn?code=011200,"+2.68% / 11,769,811","-0.41% / 11,294,192(96%)","+2.35% / 6,866,348(58%)","+0.68% / 5,904,897(50%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-3.77% / 11,392,084","+2.00% / 6,997,436(61%)","-1.96% / 7,695,506(68%)","+8.00% / 20,224,867(178%)"
대한전선,001440,https://finance.naver.com/item/main.nhn?code=001440,"-0.89% / 10,663,473","-1.80% / 7,696,766(72%)","+0.91% / 7,536,450(71%)","-2.49% / 5,424,912(51%)"
금호에이치티,214330,https://finance.naver.com/item/main.nhn?code=214330,"-9.54% / 10,596,608","-5.89% / 4,977,529(47%)","+7.15% / 8,038,473(76%)","+3.61% / 8,585,337(81%)"
