종목명,코드,상세정보,20.10.23
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-0.73% / 143,612,989"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.44% / 96,875,864"
한화생명,088350,https://finance.naver.com/item/main.nhn?code=088350,"+7.26% / 52,285,287"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+0.70% / 50,182,724"
사조씨푸드,014710,https://finance.naver.com/item/main.nhn?code=014710,"-4.62% / 44,914,333"
롯데손해보험,000400,https://finance.naver.com/item/main.nhn?code=000400,"+14.68% / 44,007,903"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-1.22% / 39,995,730"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.28% / 33,388,036"
삼부토건,001470,https://finance.naver.com/item/main.nhn?code=001470,"+12.25% / 32,999,907"
파미셀,005690,https://finance.naver.com/item/main.nhn?code=005690,"+16.15% / 27,159,988"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"+0.55% / 26,949,533"
CJ씨푸드,011150,https://finance.naver.com/item/main.nhn?code=011150,"-16.12% / 24,634,531"
알루코,001780,https://finance.naver.com/item/main.nhn?code=001780,"+6.25% / 22,607,333"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"-8.19% / 19,889,964"
문배철강,008420,https://finance.naver.com/item/main.nhn?code=008420,"-3.57% / 18,449,554"
서연,007860,https://finance.naver.com/item/main.nhn?code=007860,"+17.41% / 14,836,713"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+3.56% / 14,522,434"
콤텍시스템,031820,https://finance.naver.com/item/main.nhn?code=031820,"+5.17% / 14,470,545"
우진,105840,https://finance.naver.com/item/main.nhn?code=105840,"+3.89% / 14,340,868"
금호에이치티,214330,https://finance.naver.com/item/main.nhn?code=214330,"-6.35% / 13,850,427"
수산중공업,017550,https://finance.naver.com/item/main.nhn?code=017550,"-6.51% / 13,365,996"
태림포장,011280,https://finance.naver.com/item/main.nhn?code=011280,"+9.53% / 12,721,187"
HMM,011200,https://finance.naver.com/item/main.nhn?code=011200,"+5.63% / 12,330,831"
덕성,004830,https://finance.naver.com/item/main.nhn?code=004830,"+3.65% / 12,111,683"
아시아나항공,020560,https://finance.naver.com/item/main.nhn?code=020560,"-8.69% / 12,105,015"
남선알미늄,008350,https://finance.naver.com/item/main.nhn?code=008350,"-7.35% / 11,385,344"
