종목명,코드,상세정보,20.05.27
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"+4.92% / 62,115,827"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+29.93% / 54,017,722"
대한광통신,010170,https://finance.naver.com/item/main.nhn?code=010170,"+3.49% / 36,598,675"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+3.81% / 30,851,566"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-2.30% / 30,033,468"
소리바다,053110,https://finance.naver.com/item/main.nhn?code=053110,"+5.84% / 29,731,956"
포스코엠텍,009520,https://finance.naver.com/item/main.nhn?code=009520,"+25.67% / 25,078,735"
디에이테크놀로지,196490,https://finance.naver.com/item/main.nhn?code=196490,"+4.06% / 25,034,144"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+1.43% / 23,587,245"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+3.05% / 22,754,013"
고려제약,014570,https://finance.naver.com/item/main.nhn?code=014570,"+2.55% / 20,824,880"
드림시큐리티,203650,https://finance.naver.com/item/main.nhn?code=203650,"+4.42% / 19,701,174"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"+11.31% / 19,364,987"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"+4.55% / 19,102,697"
대성파인텍,104040,https://finance.naver.com/item/main.nhn?code=104040,"+4.93% / 18,869,487"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"+6.62% / 18,195,850"
씨아이에스,222080,https://finance.naver.com/item/main.nhn?code=222080,"+10.92% / 17,990,263"
로보로보,215100,https://finance.naver.com/item/main.nhn?code=215100,"-0.16% / 17,440,270"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+6.19% / 16,047,292"
블러썸엠앤씨,263920,https://finance.naver.com/item/main.nhn?code=263920,"+11.99% / 14,544,838"
SDN,099220,https://finance.naver.com/item/main.nhn?code=099220,"+8.37% / 14,501,438"
우리로,046970,https://finance.naver.com/item/main.nhn?code=046970,"+7.75% / 13,583,974"
메이슨캐피탈,021880,https://finance.naver.com/item/main.nhn?code=021880,"-1.00% / 13,185,888"
전파기지국,065530,https://finance.naver.com/item/main.nhn?code=065530,"-2.59% / 11,693,095"
우리넷,115440,https://finance.naver.com/item/main.nhn?code=115440,"+16.73% / 11,654,475"
한류AI센터,222810,https://finance.naver.com/item/main.nhn?code=222810,"-5.12% / 11,520,646"
시큐브,131090,https://finance.naver.com/item/main.nhn?code=131090,"+0.45% / 10,897,053"
소프트센,032680,https://finance.naver.com/item/main.nhn?code=032680,"+0.82% / 10,427,845"
