종목명,코드,상세정보,20.06.04,20.06.05,20.06.08
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"0.00% / 70,351,533","-4.93% / 17,919,283(25%)","-5.39% / 47,402,499(67%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+7.61% / 56,708,570","-0.38% / 15,637,693(28%)","-1.90% / 6,947,297(12%)"
엘비세미콘,061970,https://finance.naver.com/item/main.nhn?code=061970,"+6.04% / 37,092,065","-4.01% / 8,692,269(23%)","+4.40% / 4,946,924(13%)"
웰크론,065950,https://finance.naver.com/item/main.nhn?code=065950,"+16.85% / 32,625,894","-5.47% / 6,657,629(20%)","+0.42% / 3,499,376(11%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+8.03% / 29,532,614","0.00% / 7,169,056(24%)","-3.15% / 1,699,959(6%)"
제이씨현시스템,033320,https://finance.naver.com/item/main.nhn?code=033320,"+29.89% / 24,496,951","-5.19% / 9,786,039(40%)","+2.22% / 5,242,914(21%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-3.50% / 17,577,628","+0.72% / 8,147,130(46%)","-1.08% / 7,822,541(45%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+1.28% / 16,743,605","-4.76% / 17,211,750(103%)","+0.29% / 10,181,647(61%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+0.88% / 15,215,197","+0.50% / 4,077,812(27%)","+6.56% / 33,895,094(223%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+3.32% / 14,988,672","-2.47% / 1,899,963(13%)","+29.91% / 56,659,562(378%)"
기산텔레콤,035460,https://finance.naver.com/item/main.nhn?code=035460,"+23.98% / 14,435,523","-9.00% / 2,550,818(18%)","+0.82% / 1,141,571(8%)"
케이알피앤이,060900,https://finance.naver.com/item/main.nhn?code=060900,"+3.33% / 12,163,965","-8.87% / 12,634,710(104%)","-11.50% / 7,391,178(61%)"
메이슨캐피탈,021880,https://finance.naver.com/item/main.nhn?code=021880,"+1.97% / 10,626,597","-1.66% / 3,160,913(30%)","+1.69% / 2,815,366(26%)"
