종목명,코드,상세정보,20.06.17,20.06.18,20.06.19,20.06.22,20.06.23
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+14.08% / 134,578,827","-7.00% / 7,425,771(6%)","-5.31% / 5,474,154(4%)","+3.74% / 5,185,765(4%)","-9.91% / 13,918,401(10%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"-3.45% / 57,386,981","+1.79% / 21,842,677(38%)","-5.27% / 6,443,768(11%)","-1.30% / 3,904,318(7%)","-4.14% / 2,735,384(5%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+30.00% / 55,246,136","+29.91% / 40,366,847(73%)","-8.06% / 57,329,175(104%)","-7.87% / 26,045,550(47%)","-3.50% / 16,739,192(30%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+29.91% / 52,764,203","+29.59% / 44,192,252(84%)","0.00% / 90,208,755(171%)","-4.72% / 57,449,286(109%)","+3.15% / 43,846,818(83%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+29.81% / 38,189,159","+30.00% / 17,480,086(46%)","+29.91% / 11,114,692(29%)","+29.93% / 3,478,543(9%)",0.00% / 0(0%)
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+4.84% / 36,034,447","-22.47% / 28,257,947(78%)","+2.12% / 17,045,047(47%)","+1.38% / 4,549,470(13%)","-1.02% / 4,943,330(14%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+29.92% / 26,926,799","+29.37% / 25,810,321(96%)","-4.70% / 38,684,324(144%)","-7.87% / 22,332,469(83%)","+0.80% / 16,797,304(62%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+5.80% / 25,295,096","-2.87% / 7,037,192(28%)","-1.61% / 5,511,688(22%)","-0.27% / 4,674,192(18%)","-1.37% / 3,816,856(15%)"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"+2.88% / 22,727,911","-3.27% / 3,314,332(15%)","+1.93% / 2,785,149(12%)","+9.00% / 14,925,136(66%)","-0.87% / 5,611,754(25%)"
퓨쳐스트림네트웍스,214270,https://finance.naver.com/item/main.nhn?code=214270,"+8.06% / 22,496,264","-2.19% / 2,914,610(13%)","-1.35% / 1,475,485(7%)","-1.36% / 885,333(4%)","+2.30% / 6,464,952(29%)"
포메탈,119500,https://finance.naver.com/item/main.nhn?code=119500,"+21.56% / 19,900,118","+21.26% / 30,028,763(151%)","-21.37% / 24,056,073(121%)","-11.74% / 6,610,934(33%)","-3.29% / 3,142,478(16%)"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+3.91% / 19,311,597","+1.34% / 37,176,103(193%)","+1.86% / 6,436,813(33%)","-3.12% / 3,485,771(18%)","+2.15% / 7,288,228(38%)"
알서포트,131370,https://finance.naver.com/item/main.nhn?code=131370,"+0.94% / 18,805,947","+11.57% / 40,670,691(216%)","-10.25% / 13,758,005(73%)","-2.92% / 7,640,741(41%)","+0.68% / 5,594,421(30%)"
서울바이오시스,092190,https://finance.naver.com/item/main.nhn?code=092190,"+22.67% / 16,444,948","-4.56% / 3,108,626(19%)","+0.53% / 9,422,795(57%)","+6.07% / 2,097,117(13%)","-4.48% / 1,768,073(11%)"
