종목명,코드,상세정보,20.07.01,20.07.02
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+7.42% / 52,452,416","+21.71% / 174,071,924(332%)"
이글벳,044960,https://finance.naver.com/item/main.nhn?code=044960,"-6.14% / 35,229,386","+6.41% / 12,008,115(34%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+8.00% / 29,797,171","-5.48% / 5,938,877(20%)"
우진비앤지,018620,https://finance.naver.com/item/main.nhn?code=018620,"-4.43% / 28,686,022","+2.23% / 8,449,228(29%)"
주성엔지니어링,036930,https://finance.naver.com/item/main.nhn?code=036930,"+21.79% / 26,110,774","-2.64% / 5,016,219(19%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-9.71% / 25,693,338","+2.15% / 3,742,944(15%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"+5.72% / 20,879,107","-0.31% / 12,075,737(58%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.47% / 20,190,616","+1.77% / 7,138,305(35%)"
한일사료,005860,https://finance.naver.com/item/main.nhn?code=005860,"+1.69% / 20,044,716","+3.88% / 2,904,897(14%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"-5.72% / 16,352,962","+2.24% / 25,743,319(157%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+12.72% / 14,270,552","+2.91% / 7,054,467(49%)"
오디텍,080520,https://finance.naver.com/item/main.nhn?code=080520,"+30.00% / 13,849,741","-1.15% / 8,012,256(58%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+2.60% / 13,813,986","+2.92% / 4,002,010(29%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"-12.04% / 13,550,818","+2.28% / 11,871,306(88%)"
파루,043200,https://finance.naver.com/item/main.nhn?code=043200,"-4.38% / 13,354,801","+4.17% / 3,220,957(24%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"-6.19% / 12,621,189","-3.17% / 9,529,568(76%)"
세원,234100,https://finance.naver.com/item/main.nhn?code=234100,"+19.95% / 10,760,825","+26.57% / 22,878,002(213%)"
모베이스전자,012860,https://finance.naver.com/item/main.nhn?code=012860,"+2.50% / 10,740,861","+1.22% / 11,270,230(105%)"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"+4.15% / 10,711,610","+1.00% / 5,178,655(48%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+4.13% / 10,673,972","+2.55% / 4,111,808(39%)"
오가닉티코스메틱,900300,https://finance.naver.com/item/main.nhn?code=900300,"-15.90% / 10,313,206","-3.74% / 5,956,003(58%)"
크리스탈신소재,900250,https://finance.naver.com/item/main.nhn?code=900250,"-0.29% / 10,122,998","-2.02% / 6,554,466(65%)"
